date,guests,is_holiday,day_of_week,month,is_weekend,days_since_start,guests_lag_1,guests_lag_7,guests_lag_14,guests_lag_28,guests_mean_7,guests_mean_14,guests_mean_28
2022-02-15,13,0,1,2,0,45,23.0,21.0,16.0,22.0,19.714285714285715,20.571428571428573,21.178571428571427
2022-02-16,23,0,2,2,0,46,13.0,20.0,21.0,22.0,18.571428571428573,20.357142857142858,20.857142857142858
2022-02-17,20,0,3,2,0,47,23.0,21.0,22.0,25.0,19.0,20.5,20.892857142857142
2022-02-18,17,0,4,2,0,48,20.0,15.0,23.0,18.0,18.857142857142858,20.357142857142858,20.714285714285715
2022-02-19,18,0,5,2,1,49,17.0,22.0,22.0,20.0,19.142857142857142,19.928571428571427,20.678571428571427
2022-02-20,13,0,6,2,1,50,18.0,16.0,20.0,24.0,18.571428571428573,19.642857142857142,20.607142857142858
2022-02-21,16,1,0,2,0,51,13.0,23.0,26.0,25.0,18.142857142857142,19.142857142857142,20.214285714285715
2022-02-22,13,0,1,2,0,52,16.0,13.0,21.0,18.0,17.142857142857142,18.428571428571427,19.892857142857142
2022-02-23,21,0,2,2,0,53,13.0,23.0,20.0,23.0,17.142857142857142,17.857142857142858,19.714285714285715
2022-02-24,32,0,3,2,0,54,21.0,20.0,21.0,15.0,16.857142857142858,17.928571428571427,19.642857142857142
2022-02-25,22,0,4,2,0,55,32.0,17.0,15.0,20.0,18.571428571428573,18.714285714285715,20.25
2022-02-26,20,0,5,2,1,56,22.0,18.0,22.0,24.0,19.285714285714285,19.214285714285715,20.321428571428573
2022-02-27,24,0,6,2,1,57,20.0,13.0,16.0,25.0,19.571428571428573,19.071428571428573,20.178571428571427
2022-02-28,17,0,0,2,0,58,24.0,16.0,23.0,24.0,21.142857142857142,19.642857142857142,20.142857142857142
2022-03-01,24,0,1,3,0,59,17.0,13.0,13.0,16.0,21.285714285714285,19.214285714285715,19.892857142857142
2022-03-02,26,0,2,3,0,60,24.0,21.0,23.0,21.0,22.857142857142858,20.0,20.178571428571427
2022-03-03,22,0,3,3,0,61,26.0,32.0,20.0,22.0,23.571428571428573,20.214285714285715,20.357142857142858
2022-03-04,27,0,4,3,0,62,22.0,22.0,17.0,23.0,22.142857142857142,20.357142857142858,20.357142857142858
2022-03-05,23,0,5,3,1,63,27.0,20.0,18.0,22.0,22.857142857142858,21.071428571428573,20.5
2022-03-06,21,0,6,3,1,64,23.0,24.0,13.0,20.0,23.285714285714285,21.428571428571427,20.535714285714285
2022-03-07,17,0,0,3,0,65,21.0,17.0,16.0,26.0,22.857142857142858,22.0,20.571428571428573
2022-03-08,25,0,1,3,0,66,17.0,24.0,13.0,21.0,22.857142857142858,22.071428571428573,20.25
2022-03-09,27,0,2,3,0,67,25.0,26.0,21.0,20.0,23.0,22.928571428571427,20.392857142857142
2022-03-10,21,0,3,3,0,68,27.0,22.0,32.0,21.0,23.142857142857142,23.357142857142858,20.642857142857142
2022-03-11,25,0,4,3,0,69,21.0,27.0,22.0,15.0,23.0,22.571428571428573,20.642857142857142
2022-03-12,19,0,5,3,1,70,25.0,23.0,20.0,22.0,22.714285714285715,22.785714285714285,21.0
2022-03-13,26,0,6,3,1,71,19.0,21.0,24.0,16.0,22.142857142857142,22.714285714285715,20.892857142857142
2022-03-14,22,0,0,3,0,72,26.0,17.0,17.0,23.0,22.857142857142858,22.857142857142858,21.25
2022-03-15,23,0,1,3,0,73,22.0,25.0,24.0,13.0,23.571428571428573,23.214285714285715,21.214285714285715
2022-03-16,22,0,2,3,0,74,23.0,27.0,26.0,23.0,23.285714285714285,23.142857142857142,21.571428571428573
2022-03-17,17,0,3,3,0,75,22.0,21.0,22.0,20.0,22.571428571428573,22.857142857142858,21.535714285714285
2022-03-18,23,0,4,3,0,76,17.0,25.0,27.0,17.0,22.0,22.5,21.428571428571427
2022-03-19,22,0,5,3,1,77,23.0,19.0,23.0,18.0,21.714285714285715,22.214285714285715,21.642857142857142
2022-03-20,19,0,6,3,1,78,22.0,26.0,21.0,13.0,22.142857142857142,22.142857142857142,21.785714285714285
2022-03-21,25,0,0,3,0,79,19.0,22.0,17.0,16.0,21.142857142857142,22.0,22.0
2022-03-22,17,0,1,3,0,80,25.0,23.0,25.0,13.0,21.571428571428573,22.571428571428573,22.321428571428573
2022-03-23,17,0,2,3,0,81,17.0,22.0,27.0,21.0,20.714285714285715,22.0,22.464285714285715
2022-03-24,25,0,3,3,0,82,17.0,17.0,21.0,32.0,20.0,21.285714285714285,22.321428571428573
2022-03-25,27,0,4,3,0,83,25.0,23.0,25.0,22.0,21.142857142857142,21.571428571428573,22.071428571428573
2022-03-26,26,0,5,3,1,84,27.0,22.0,19.0,20.0,21.714285714285715,21.714285714285715,22.25
2022-03-27,22,0,6,3,1,85,26.0,19.0,26.0,24.0,22.285714285714285,22.214285714285715,22.464285714285715
2022-03-28,14,0,0,3,0,86,22.0,25.0,22.0,17.0,22.714285714285715,21.928571428571427,22.392857142857142
2022-03-29,24,0,1,3,0,87,14.0,17.0,23.0,24.0,21.142857142857142,21.357142857142858,22.285714285714285
2022-03-30,21,0,2,3,0,88,24.0,17.0,22.0,26.0,22.142857142857142,21.428571428571427,22.285714285714285
2022-03-31,31,0,3,3,0,89,21.0,25.0,17.0,22.0,22.714285714285715,21.357142857142858,22.107142857142858
2022-04-01,24,0,4,4,0,90,31.0,27.0,23.0,27.0,23.571428571428573,22.357142857142858,22.428571428571427
2022-04-02,34,0,5,4,1,91,24.0,26.0,22.0,23.0,23.142857142857142,22.428571428571427,22.321428571428573
2022-04-03,21,0,6,4,1,92,34.0,22.0,19.0,21.0,24.285714285714285,23.285714285714285,22.714285714285715
2022-04-04,21,0,0,4,0,93,21.0,14.0,25.0,17.0,24.142857142857142,23.428571428571427,22.714285714285715
2022-04-05,23,0,1,4,0,94,21.0,24.0,17.0,25.0,25.142857142857142,23.142857142857142,22.857142857142858
2022-04-06,22,0,2,4,0,95,23.0,21.0,17.0,27.0,25.0,23.571428571428573,22.785714285714285
2022-04-07,16,0,3,4,0,96,22.0,31.0,25.0,21.0,25.142857142857142,23.928571428571427,22.607142857142858
2022-04-08,23,0,4,4,0,97,16.0,24.0,27.0,25.0,23.0,23.285714285714285,22.428571428571427
2022-04-09,28,0,5,4,1,98,23.0,34.0,26.0,19.0,22.857142857142858,23.0,22.357142857142858
2022-04-10,22,0,6,4,1,99,28.0,21.0,22.0,26.0,22.0,23.142857142857142,22.678571428571427
2022-04-11,18,0,0,4,0,100,22.0,21.0,14.0,22.0,22.142857142857142,23.142857142857142,22.535714285714285
2022-04-12,20,0,1,4,0,101,18.0,23.0,24.0,23.0,21.714285714285715,23.428571428571427,22.392857142857142
2022-04-13,15,0,2,4,0,102,20.0,22.0,21.0,22.0,21.285714285714285,23.142857142857142,22.285714285714285
2022-04-14,25,0,3,4,0,103,15.0,16.0,31.0,17.0,20.285714285714285,22.714285714285715,22.035714285714285
2022-04-15,21,0,4,4,0,104,25.0,23.0,24.0,23.0,21.571428571428573,22.285714285714285,22.321428571428573
2022-04-16,27,0,5,4,1,105,21.0,28.0,34.0,22.0,21.285714285714285,22.071428571428573,22.25
2022-04-17,19,0,6,4,1,106,27.0,22.0,21.0,19.0,21.142857142857142,21.571428571428573,22.428571428571427
2022-04-18,20,0,0,4,0,107,19.0,18.0,21.0,25.0,20.714285714285715,21.428571428571427,22.428571428571427
2022-04-19,20,0,1,4,0,108,20.0,20.0,23.0,17.0,21.0,21.357142857142858,22.25
2022-04-20,24,0,2,4,0,109,20.0,15.0,22.0,17.0,21.0,21.142857142857142,22.357142857142858
2022-04-21,19,0,3,4,0,110,24.0,25.0,16.0,25.0,22.285714285714285,21.285714285714285,22.607142857142858
2022-04-22,19,0,4,4,0,111,19.0,21.0,23.0,27.0,21.428571428571427,21.5,22.392857142857142
2022-04-23,22,0,5,4,1,112,19.0,27.0,28.0,26.0,21.142857142857142,21.214285714285715,22.107142857142858
2022-04-24,26,0,6,4,1,113,22.0,19.0,22.0,22.0,20.428571428571427,20.785714285714285,21.964285714285715
2022-04-25,28,0,0,4,0,114,26.0,20.0,18.0,14.0,21.428571428571427,21.071428571428573,22.107142857142858
2022-04-26,19,0,1,4,0,115,28.0,20.0,20.0,24.0,22.571428571428573,21.785714285714285,22.607142857142858
2022-04-27,17,0,2,4,0,116,19.0,24.0,15.0,21.0,22.428571428571427,21.714285714285715,22.428571428571427
2022-04-28,15,0,3,4,0,117,17.0,19.0,25.0,31.0,21.428571428571427,21.857142857142858,22.285714285714285
2022-04-29,21,0,4,4,0,118,15.0,19.0,21.0,24.0,20.857142857142858,21.142857142857142,21.714285714285715
2022-04-30,13,0,5,4,1,119,21.0,22.0,27.0,34.0,21.142857142857142,21.142857142857142,21.607142857142858
2022-05-01,17,0,6,5,1,120,13.0,26.0,19.0,21.0,19.857142857142858,20.142857142857142,20.857142857142858
2022-05-02,19,0,0,5,0,121,17.0,28.0,20.0,21.0,18.571428571428573,20.0,20.714285714285715
2022-05-03,25,0,1,5,0,122,19.0,19.0,20.0,23.0,17.285714285714285,19.928571428571427,20.642857142857142
2022-05-04,18,0,2,5,0,123,25.0,17.0,24.0,22.0,18.142857142857142,20.285714285714285,20.714285714285715
2022-05-05,18,0,3,5,0,124,18.0,15.0,19.0,16.0,18.285714285714285,19.857142857142858,20.571428571428573
2022-05-06,23,0,4,5,0,125,18.0,21.0,19.0,23.0,18.714285714285715,19.785714285714285,20.642857142857142
2022-05-07,27,0,5,5,1,126,23.0,13.0,22.0,28.0,19.0,20.071428571428573,20.642857142857142
2022-05-08,18,0,6,5,1,127,27.0,17.0,26.0,22.0,21.0,20.428571428571427,20.607142857142858
2022-05-09,22,0,0,5,0,128,18.0,19.0,28.0,18.0,21.142857142857142,19.857142857142858,20.464285714285715
2022-05-10,21,0,1,5,0,129,22.0,25.0,19.0,20.0,21.571428571428573,19.428571428571427,20.607142857142858
2022-05-11,19,0,2,5,0,130,21.0,18.0,17.0,15.0,21.0,19.571428571428573,20.642857142857142
2022-05-12,20,0,3,5,0,131,19.0,18.0,15.0,25.0,21.142857142857142,19.714285714285715,20.785714285714285
2022-05-13,25,0,4,5,0,132,20.0,23.0,21.0,21.0,21.428571428571427,20.071428571428573,20.607142857142858
2022-05-14,17,0,5,5,1,133,25.0,27.0,13.0,27.0,21.714285714285715,20.357142857142858,20.75
2022-05-15,25,0,6,5,1,134,17.0,18.0,17.0,19.0,20.285714285714285,20.642857142857142,20.392857142857142
2022-05-16,18,0,0,5,0,135,25.0,22.0,19.0,20.0,21.285714285714285,21.214285714285715,20.607142857142858
2022-05-17,14,0,1,5,0,136,18.0,21.0,25.0,20.0,20.714285714285715,21.142857142857142,20.535714285714285
2022-05-18,19,0,2,5,0,137,14.0,19.0,18.0,24.0,19.714285714285715,20.357142857142858,20.321428571428573
2022-05-19,13,0,3,5,0,138,19.0,20.0,18.0,19.0,19.714285714285715,20.428571428571427,20.142857142857142
2022-05-20,23,0,4,5,0,139,13.0,25.0,23.0,19.0,18.714285714285715,20.071428571428573,19.928571428571427
2022-05-21,25,0,5,5,1,140,23.0,17.0,27.0,22.0,18.428571428571427,20.071428571428573,20.071428571428573
2022-05-22,16,0,6,5,1,141,25.0,25.0,18.0,26.0,19.571428571428573,19.928571428571427,20.178571428571427
2022-05-23,20,0,0,5,0,142,16.0,18.0,22.0,28.0,18.285714285714285,19.785714285714285,19.821428571428573
2022-05-24,21,0,1,5,0,143,20.0,14.0,21.0,19.0,18.571428571428573,19.642857142857142,19.535714285714285
2022-05-25,29,0,2,5,0,144,21.0,19.0,19.0,17.0,19.571428571428573,19.642857142857142,19.607142857142858
2022-05-26,24,0,3,5,0,145,29.0,13.0,20.0,15.0,21.0,20.357142857142858,20.035714285714285
2022-05-27,20,0,4,5,0,146,24.0,23.0,25.0,21.0,22.571428571428573,20.642857142857142,20.357142857142858
2022-05-28,17,0,5,5,1,147,20.0,25.0,17.0,13.0,22.142857142857142,20.285714285714285,20.321428571428573
2022-05-29,20,0,6,5,1,148,17.0,16.0,25.0,17.0,21.0,20.285714285714285,20.464285714285715
2022-05-30,30,1,0,5,0,149,20.0,20.0,18.0,19.0,21.571428571428573,19.928571428571427,20.571428571428573
2022-05-31,22,0,1,5,0,150,30.0,21.0,14.0,25.0,23.0,20.785714285714285,20.964285714285715
2022-06-01,22,0,2,6,0,151,22.0,29.0,19.0,18.0,23.142857142857142,21.357142857142858,20.857142857142858
2022-06-02,24,0,3,6,0,152,22.0,24.0,13.0,18.0,22.142857142857142,21.571428571428573,21.0
2022-06-03,18,0,4,6,0,153,24.0,20.0,23.0,23.0,22.142857142857142,22.357142857142858,21.214285714285715
2022-06-04,28,0,5,6,1,154,18.0,17.0,25.0,27.0,21.857142857142858,22.0,21.035714285714285
2022-06-05,24,0,6,6,1,155,28.0,20.0,16.0,18.0,23.428571428571427,22.214285714285715,21.071428571428573
2022-06-06,25,0,0,6,0,156,24.0,30.0,20.0,22.0,24.0,22.785714285714285,21.285714285714285
2022-06-07,22,0,1,6,0,157,25.0,22.0,21.0,21.0,23.285714285714285,23.142857142857142,21.392857142857142
2022-06-08,25,0,2,6,0,158,22.0,22.0,29.0,19.0,23.285714285714285,23.214285714285715,21.428571428571427
2022-06-09,20,0,3,6,0,159,25.0,24.0,24.0,20.0,23.714285714285715,22.928571428571427,21.642857142857142
2022-06-10,16,0,4,6,0,160,20.0,18.0,20.0,25.0,23.142857142857142,22.642857142857142,21.642857142857142
2022-06-11,25,0,5,6,1,161,16.0,28.0,17.0,17.0,22.857142857142858,22.357142857142858,21.321428571428573
2022-06-12,20,0,6,6,1,162,25.0,24.0,20.0,25.0,22.428571428571427,22.928571428571427,21.607142857142858
2022-06-13,23,0,0,6,0,163,20.0,25.0,30.0,18.0,21.857142857142858,22.928571428571427,21.428571428571427
2022-06-14,15,0,1,6,0,164,23.0,22.0,22.0,14.0,21.571428571428573,22.428571428571427,21.607142857142858
2022-06-15,18,0,2,6,0,165,15.0,25.0,22.0,19.0,20.571428571428573,21.928571428571427,21.642857142857142
2022-06-16,24,0,3,6,0,166,18.0,20.0,24.0,13.0,19.571428571428573,21.642857142857142,21.607142857142858
2022-06-17,19,0,4,6,0,167,24.0,16.0,18.0,23.0,20.142857142857142,21.642857142857142,22.0
2022-06-18,15,0,5,6,1,168,19.0,25.0,28.0,25.0,20.571428571428573,21.714285714285715,21.857142857142858
2022-06-19,19,1,6,6,1,169,15.0,20.0,24.0,16.0,19.142857142857142,20.785714285714285,21.5
2022-06-20,27,1,0,6,0,170,19.0,23.0,25.0,20.0,19.0,20.428571428571427,21.607142857142858
2022-06-21,25,0,1,6,0,171,27.0,15.0,22.0,21.0,19.571428571428573,20.571428571428573,21.857142857142858
2022-06-22,25,0,2,6,0,172,25.0,18.0,25.0,29.0,21.0,20.785714285714285,22.0
2022-06-23,18,0,3,6,0,173,25.0,24.0,20.0,24.0,22.0,20.785714285714285,21.857142857142858
2022-06-24,24,0,4,6,0,174,18.0,19.0,16.0,20.0,21.142857142857142,20.642857142857142,21.642857142857142
2022-06-25,23,0,5,6,1,175,24.0,15.0,25.0,17.0,21.857142857142858,21.214285714285715,21.785714285714285
2022-06-26,28,0,6,6,1,176,23.0,19.0,20.0,20.0,23.0,21.071428571428573,22.0
2022-06-27,21,0,0,6,0,177,28.0,27.0,23.0,30.0,24.285714285714285,21.642857142857142,22.285714285714285
2022-06-28,29,0,1,6,0,178,21.0,25.0,15.0,22.0,23.428571428571427,21.5,21.964285714285715
2022-06-29,28,0,2,6,0,179,29.0,25.0,18.0,22.0,24.0,22.5,22.214285714285715
2022-06-30,26,0,3,6,0,180,28.0,18.0,24.0,24.0,24.428571428571427,23.214285714285715,22.428571428571427
2022-07-01,29,0,4,7,0,181,26.0,24.0,19.0,18.0,25.571428571428573,23.357142857142858,22.5
2022-07-02,22,0,5,7,1,182,29.0,23.0,15.0,28.0,26.285714285714285,24.071428571428573,22.892857142857142
2022-07-03,25,0,6,7,1,183,22.0,28.0,19.0,24.0,26.142857142857142,24.571428571428573,22.678571428571427
2022-07-04,24,1,0,7,0,184,25.0,21.0,27.0,25.0,25.714285714285715,25.0,22.714285714285715
2022-07-05,19,0,1,7,0,185,24.0,29.0,25.0,22.0,26.142857142857142,24.785714285714285,22.678571428571427
2022-07-06,22,0,2,7,0,186,19.0,28.0,25.0,25.0,24.714285714285715,24.357142857142858,22.571428571428573
2022-07-07,13,0,3,7,0,187,22.0,26.0,18.0,20.0,23.857142857142858,24.142857142857142,22.464285714285715
2022-07-08,24,0,4,7,0,188,13.0,29.0,24.0,16.0,22.0,23.785714285714285,22.214285714285715
2022-07-09,16,0,5,7,1,189,24.0,22.0,23.0,25.0,21.285714285714285,23.785714285714285,22.5
2022-07-10,22,0,6,7,1,190,16.0,25.0,28.0,20.0,20.428571428571427,23.285714285714285,22.178571428571427
2022-07-11,22,0,0,7,0,191,22.0,24.0,21.0,23.0,20.0,22.857142857142858,22.25
2022-07-12,22,0,1,7,0,192,22.0,19.0,29.0,15.0,19.714285714285715,22.928571428571427,22.214285714285715
2022-07-13,21,0,2,7,0,193,22.0,22.0,28.0,18.0,20.142857142857142,22.428571428571427,22.464285714285715
2022-07-14,24,0,3,7,0,194,21.0,13.0,26.0,24.0,20.0,21.928571428571427,22.571428571428573
2022-07-15,28,0,4,7,0,195,24.0,24.0,29.0,19.0,21.571428571428573,21.785714285714285,22.571428571428573
2022-07-16,21,0,5,7,1,196,28.0,16.0,22.0,15.0,22.142857142857142,21.714285714285715,22.892857142857142
2022-07-17,27,0,6,7,1,197,21.0,22.0,25.0,19.0,22.857142857142858,21.642857142857142,23.107142857142858
2022-07-18,20,0,0,7,0,198,27.0,22.0,24.0,27.0,23.571428571428573,21.785714285714285,23.392857142857142
2022-07-19,15,0,1,7,0,199,20.0,22.0,19.0,25.0,23.285714285714285,21.5,23.142857142857142
2022-07-20,18,0,2,7,0,200,15.0,21.0,22.0,25.0,22.285714285714285,21.214285714285715,22.785714285714285
2022-07-21,18,0,3,7,0,201,18.0,24.0,13.0,18.0,21.857142857142858,20.928571428571427,22.535714285714285
2022-07-22,24,0,4,7,0,202,18.0,28.0,24.0,24.0,21.0,21.285714285714285,22.535714285714285
2022-07-23,17,0,5,7,1,203,24.0,21.0,16.0,23.0,20.428571428571427,21.285714285714285,22.535714285714285
2022-07-24,18,0,6,7,1,204,17.0,27.0,22.0,28.0,19.857142857142858,21.357142857142858,22.321428571428573
2022-07-25,20,0,0,7,0,205,18.0,20.0,22.0,21.0,18.571428571428573,21.071428571428573,21.964285714285715
2022-07-26,14,0,1,7,0,206,20.0,15.0,22.0,29.0,18.571428571428573,20.928571428571427,21.928571428571427
2022-07-27,19,0,2,7,0,207,14.0,18.0,21.0,28.0,18.428571428571427,20.357142857142858,21.392857142857142
2022-07-28,22,0,3,7,0,208,19.0,18.0,24.0,26.0,18.571428571428573,20.214285714285715,21.071428571428573
2022-07-29,19,0,4,7,0,209,22.0,24.0,28.0,29.0,19.142857142857142,20.071428571428573,20.928571428571427
2022-07-30,26,0,5,7,1,210,19.0,17.0,21.0,22.0,18.428571428571427,19.428571428571427,20.571428571428573
2022-07-31,16,0,6,7,1,211,26.0,18.0,27.0,25.0,19.714285714285715,19.785714285714285,20.714285714285715
2022-08-01,22,0,0,8,0,212,16.0,20.0,20.0,24.0,19.428571428571427,19.0,20.392857142857142
2022-08-02,27,0,1,8,0,213,22.0,14.0,15.0,19.0,19.714285714285715,19.142857142857142,20.321428571428573
2022-08-03,31,0,2,8,0,214,27.0,19.0,18.0,22.0,21.571428571428573,20.0,20.607142857142858
2022-08-04,21,0,3,8,0,215,31.0,22.0,18.0,13.0,23.285714285714285,20.928571428571427,20.928571428571427
2022-08-05,27,0,4,8,0,216,21.0,19.0,24.0,24.0,23.142857142857142,21.142857142857142,21.214285714285715
2022-08-06,19,0,5,8,1,217,27.0,26.0,17.0,16.0,24.285714285714285,21.357142857142858,21.321428571428573
2022-08-07,27,0,6,8,1,218,19.0,16.0,18.0,22.0,23.285714285714285,21.5,21.428571428571427
2022-08-08,22,0,0,8,0,219,27.0,22.0,20.0,22.0,24.857142857142858,22.142857142857142,21.607142857142858
2022-08-09,28,0,1,8,0,220,22.0,27.0,14.0,22.0,24.857142857142858,22.285714285714285,21.607142857142858
2022-08-10,18,0,2,8,0,221,28.0,31.0,19.0,21.0,25.0,23.285714285714285,21.821428571428573
2022-08-11,23,0,3,8,0,222,18.0,21.0,22.0,24.0,23.142857142857142,23.214285714285715,21.714285714285715
2022-08-12,21,0,4,8,0,223,23.0,27.0,19.0,28.0,23.428571428571427,23.285714285714285,21.678571428571427
2022-08-13,20,0,5,8,1,224,21.0,19.0,26.0,21.0,22.571428571428573,23.428571428571427,21.428571428571427
2022-08-14,20,0,6,8,1,225,20.0,27.0,16.0,27.0,22.714285714285715,23.0,21.392857142857142
2022-08-15,19,0,0,8,0,226,20.0,22.0,22.0,20.0,21.714285714285715,23.285714285714285,21.142857142857142
2022-08-16,23,0,1,8,0,227,19.0,28.0,27.0,15.0,21.285714285714285,23.071428571428573,21.107142857142858
2022-08-17,25,0,2,8,0,228,23.0,18.0,31.0,18.0,20.571428571428573,22.785714285714285,21.392857142857142
2022-08-18,23,0,3,8,0,229,25.0,23.0,21.0,18.0,21.571428571428573,22.357142857142858,21.642857142857142
2022-08-19,21,0,4,8,0,230,23.0,21.0,27.0,24.0,21.571428571428573,22.5,21.821428571428573
2022-08-20,18,0,5,8,1,231,21.0,20.0,19.0,17.0,21.571428571428573,22.071428571428573,21.714285714285715
2022-08-21,16,0,6,8,1,232,18.0,20.0,27.0,18.0,21.285714285714285,22.0,21.75
2022-08-22,20,0,0,8,0,233,16.0,19.0,22.0,20.0,20.714285714285715,21.214285714285715,21.678571428571427
2022-08-23,20,0,1,8,0,234,20.0,23.0,28.0,14.0,20.857142857142858,21.071428571428573,21.678571428571427
2022-08-24,14,0,2,8,0,235,20.0,25.0,18.0,19.0,20.428571428571427,20.5,21.892857142857142
2022-08-25,21,0,3,8,0,236,14.0,23.0,23.0,22.0,18.857142857142858,20.214285714285715,21.714285714285715
2022-08-26,24,0,4,8,0,237,21.0,21.0,21.0,19.0,18.571428571428573,20.071428571428573,21.678571428571427
2022-08-27,20,0,5,8,1,238,24.0,18.0,20.0,26.0,19.0,20.285714285714285,21.857142857142858
2022-08-28,30,0,6,8,1,239,20.0,16.0,20.0,16.0,19.285714285714285,20.285714285714285,21.642857142857142
2022-08-29,24,0,0,8,0,240,30.0,20.0,19.0,22.0,21.285714285714285,21.0,22.142857142857142
2022-08-30,18,0,1,8,0,241,24.0,20.0,23.0,27.0,21.857142857142858,21.357142857142858,22.214285714285715
2022-08-31,21,0,2,8,0,242,18.0,14.0,25.0,31.0,21.571428571428573,21.0,21.892857142857142
2022-09-01,18,0,3,9,0,243,21.0,21.0,23.0,21.0,22.571428571428573,20.714285714285715,21.535714285714285
2022-09-02,28,0,4,9,0,244,18.0,24.0,21.0,27.0,22.142857142857142,20.357142857142858,21.428571428571427
2022-09-03,29,0,5,9,1,245,28.0,20.0,18.0,19.0,22.714285714285715,20.857142857142858,21.464285714285715
2022-09-04,23,0,6,9,1,246,29.0,30.0,16.0,27.0,24.0,21.642857142857142,21.821428571428573
2022-09-05,23,1,0,9,0,247,23.0,24.0,20.0,22.0,23.0,22.142857142857142,21.678571428571427
2022-09-06,29,0,1,9,0,248,23.0,18.0,20.0,28.0,22.857142857142858,22.357142857142858,21.714285714285715
2022-09-07,12,0,2,9,0,249,29.0,21.0,14.0,18.0,24.428571428571427,23.0,21.75
2022-09-08,19,0,3,9,0,250,12.0,18.0,21.0,23.0,23.142857142857142,22.857142857142858,21.535714285714285
2022-09-09,20,0,4,9,0,251,19.0,28.0,24.0,21.0,23.285714285714285,22.714285714285715,21.392857142857142
2022-09-10,18,0,5,9,1,252,20.0,29.0,20.0,20.0,22.142857142857142,22.428571428571427,21.357142857142858
2022-09-11,22,0,6,9,1,253,18.0,23.0,30.0,20.0,20.571428571428573,22.285714285714285,21.285714285714285
2022-09-12,21,0,0,9,0,254,22.0,23.0,24.0,19.0,20.428571428571427,21.714285714285715,21.357142857142858
2022-09-13,14,0,1,9,0,255,21.0,29.0,18.0,23.0,20.142857142857142,21.5,21.428571428571427
2022-09-14,17,0,2,9,0,256,14.0,12.0,21.0,25.0,18.0,21.214285714285715,21.107142857142858
2022-09-15,23,0,3,9,0,257,17.0,19.0,18.0,23.0,18.714285714285715,20.928571428571427,20.821428571428573
2022-09-16,27,0,4,9,0,258,23.0,20.0,28.0,21.0,19.285714285714285,21.285714285714285,20.821428571428573
2022-09-17,29,0,5,9,1,259,27.0,18.0,29.0,18.0,20.285714285714285,21.214285714285715,21.035714285714285
2022-09-18,22,0,6,9,1,260,29.0,22.0,23.0,16.0,21.857142857142858,21.214285714285715,21.428571428571427
2022-09-19,13,0,0,9,0,261,22.0,21.0,23.0,20.0,21.857142857142858,21.142857142857142,21.642857142857142
2022-09-20,21,0,1,9,0,262,13.0,14.0,29.0,20.0,20.714285714285715,20.428571428571427,21.392857142857142
2022-09-21,27,0,2,9,0,263,21.0,17.0,12.0,14.0,21.714285714285715,19.857142857142858,21.428571428571427
2022-09-22,21,0,3,9,0,264,27.0,23.0,19.0,21.0,23.142857142857142,20.928571428571427,21.892857142857142
2022-09-23,19,0,4,9,0,265,21.0,27.0,20.0,24.0,22.857142857142858,21.071428571428573,21.892857142857142
2022-09-24,17,0,5,9,1,266,19.0,29.0,18.0,20.0,21.714285714285715,21.0,21.714285714285715
